Data calculated via Fourier domain filtering

Frequency:	6.2831853

Number of harmonics used:	39

Number of cycles in input:	3

Tangent(x)	Tangent(y)	Tangent(z)	Normal(x)	Normal(y)	Normal(z)	Binormal(x)	Binormal(y)	Binormal(z)
[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	

4.2952755	-4.5860190	88.2179344	0.6079520	-0.7908187	-0.0707116	0.7924870	0.6098499	-0.0068826
4.2576129	-4.6210057	81.2306194	0.5969655	-0.7985902	-0.0767191	0.8005631	0.5991967	-0.0078738
4.2196653	-4.6556832	75.3135877	0.5788957	-0.8112090	-0.0825811	0.8134877	0.5815023	-0.0096311
4.1814353	-4.6900491	70.6926822	0.5461448	-0.8331004	-0.0875756	0.8356163	0.5491599	-0.0129927
4.1429254	-4.7241010	67.5259830	0.4708564	-0.8775780	-0.0902836	0.8800922	0.4743464	-0.0208112
4.1041382	-4.7578368	65.8888495	0.1519651	-0.9850941	-0.0805994	0.9864389	0.1562766	-0.0501594
4.0650763	-4.7912541	65.7638561	-0.9887463	0.1318299	0.0707221	-0.1363614	-0.9886157	-0.0635971
4.0257424	-4.8243507	67.0366731	-0.8257077	0.5569262	0.0896658	-0.5609205	-0.8274655	-0.0258644
3.9861390	-4.8571244	69.4985468	-0.7665828	0.6360290	0.0884188	-0.6395997	-0.7685196	-0.0170257
3.9462688	-4.8895730	72.8555548	-0.7422494	0.6647345	0.0848169	-0.6679473	-0.7440814	-0.0137579
3.9061344	-4.9216943	76.7442932	-0.7333789	0.6750231	0.0806175	-0.6779248	-0.7350227	-0.0126328
3.8657386	-4.9534863	80.7531320	-0.7360683	0.6725714	0.0764926	-0.6752226	-0.7375009	-0.0129155
3.8250841	-4.9849466	84.4477064	-0.7535436	0.6533657	0.0727001	-0.6558442	-0.7547503	-0.0148462
3.7841735	-5.0160734	87.3989287	-0.8011365	0.5945130	0.0688082	-0.5969215	-0.8020457	-0.0201864
3.7430097	-5.0468643	89.2115471	-0.9359807	0.3470882	0.0589060	-0.3495547	-0.9361331	-0.0382927
3.7015953	-5.0773175	89.5511779	-0.3475843	-0.9368477	-0.0387494	0.9367417	-0.3451340	-0.0582884
3.6599332	-5.1074309	88.1677931	0.3108405	-0.9480392	-0.0678218	0.9495598	0.3128623	-0.0212935
3.6180261	-5.1372024	84.9138768	0.4330765	-0.8984120	-0.0728056	0.9003550	0.4349894	-0.0120461
3.5758769	-5.1666300	79.7558361	0.4762540	-0.8758334	-0.0780900	0.8781710	0.4782733	-0.0083902
3.5334883	-5.1957119	72.7777483	0.4957254	-0.8642339	-0.0857673	0.8671312	0.4980368	-0.0065452
3.4908632	-5.2244459	64.1771009	0.5050522	-0.8575884	-0.0972854	0.8613894	0.5079153	-0.0055069
3.4480044	-5.2528303	54.2527936	0.5089470	-0.8530891	-0.1149431	0.8584796	0.5128242	-0.0049078
3.4049149	-5.2808632	43.3862547	0.5091089	-0.8486966	-0.1432556	0.8571906	0.5149789	-0.0045897
3.3615975	-5.3085425	32.0170530	0.5051761	-0.8412675	-0.1925256	0.8568443	0.5155557	-0.0044825
3.3180550	-5.3358666	20.6147940	0.4917684	-0.8204749	-0.2915217	0.8570061	0.5152860	-0.0045645
3.2742905	-5.3628335	9.6493535	0.4290764	-0.7198277	-0.5456570	0.8573424	0.5147237	-0.0048511
3.2303069	-5.3894414	-0.4383980	-0.0404273	0.0569142	-0.9975602	0.8575222	0.5144185	-0.0054027
