Time	Creep Compliance
116.4	0.0001488642406
116.6	0.0001489494058
116.8	0.0001491368828
117.0	0.0001494356584
117.2	0.0001497063346
117.5	0.0001500455717
117.7	0.0001505139976
117.9	0.00015074198
118.1	0.0001509478499
118.3	0.0001511581205
118.6	0.0001514743603
118.8	0.0001515507765
119.0	0.0001518185223
119.2	0.0001519979069
119.4	0.000152085518
119.7	0.0001522685841
119.9	0.0001524387197
120.1	0.0001525318484
120.3	0.0001526050635
120.5	0.0001526915996
120.8	0.0001525319262
121.0	0.0001527004241
121.2	0.0001527671951
121.4	0.0001528811322
121.6	0.0001532718585
121.9	0.000153391194
122.1	0.0001537041276
122.3	0.0001537502468
122.5	0.0001536365434
122.8	0.0001538281641
123.0	0.0001539645395
123.2	0.000154229477
123.4	0.0001543632632
123.7	0.0001545072459
123.9	0.0001550054894
124.1	0.0001551962274
124.3	0.0001553869958
124.6	0.0001557243595
124.8	0.000155973821
125.0	0.0001560510719
125.2	0.000156646077
125.5	0.0001568847745
125.7	0.0001570456765
125.9	0.0001574675101
126.1	0.0001576001436
126.4	0.0001579347261
126.6	0.0001580228421
126.8	0.0001581286006
127.0	0.0001583917835
127.3	0.0001584087
127.5	0.000158822249
127.7	0.0001585513982
128.0	0.0001586183031
128.2	0.0001587664927
128.4	0.00015888262
128.6	0.0001589543789
128.9	0.0001589669748
129.1	0.0001592454529
129.3	0.0001592733145
129.6	0.0001596054927
129.8	0.0001597457594
130.0	0.0001598577891
130.3	0.0001600887806
130.5	0.0001604881085
130.7	0.0001605805615
130.9	0.0001608414548
131.2	0.0001611188893
131.4	0.0001612401305
131.6	0.0001613664468
131.9	0.0001618427928
132.1	0.0001619736197
132.3	0.0001621788451
132.6	0.0001623393104
132.8	0.0001626916143
133.0	0.0001631020685
133.3	0.0001632771836
133.5	0.0001634096289
133.7	0.0001634742577
134.0	0.0001637875869
134.2	0.0001638663233
134.4	0.0001640789717
134.7	0.0001644618029
134.9	0.0001646084252
135.2	0.0001648321028
135.4	0.0001650521382
135.6	0.000165220504
135.9	0.000165507245
136.1	0.0001657089136
136.3	0.0001659570254
136.6	0.0001662735631
136.8	0.0001664716737
137.0	0.0001666935254
137.3	0.0001670435007
137.5	0.000167278289
137.8	0.0001673194015
138.0	0.0001675194741
138.2	0.0001678812122
138.5	0.0001682461422
138.7	0.0001685116539
139.0	0.0001686653838
139.2	0.0001688231314
139.4	0.0001690876587
139.7	0.0001693592894
139.9	0.0001696931725
140.2	0.000169842064
140.4	0.000170045121
140.6	0.0001704188553
140.9	0.0001706130582
141.1	0.0001706106057
141.4	0.000170951817
141.6	0.0001710810395
141.8	0.0001708745542
142.1	0.0001711629958
142.3	0.0001713772568
142.6	0.0001714641363
142.8	0.00017164484
143.1	0.0001716599902
143.3	0.0001719873234
143.6	0.0001721402815
143.8	0.0001723502584
144.0	0.0001724760109
144.3	0.0001725680184
144.5	0.0001728183467
144.8	0.0001729519813
145.0	0.0001731577262
145.3	0.0001735046082
145.5	0.0001735841799
145.8	0.0001740330094
146.0	0.0001740413231
146.3	0.0001743831981
146.5	0.000174617836
146.7	0.0001747156706
147.0	0.0001750392898
147.2	0.0001750159549
147.5	0.0001751230821
147.7	0.0001753699411
148.0	0.0001754825771
148.2	0.000175648642
148.5	0.000175910776
148.7	0.0001763207497
149.0	0.000176580375
149.2	0.0001768721161
149.5	0.0001772793791
149.7	0.0001776871372
150.0	0.0001781033892
150.2	0.0001782500447
150.5	0.0001785060512
150.7	0.0001787932657
151.0	0.0001789781544
151.2	0.0001792841272
151.5	0.0001794665045
151.7	0.0001797349283
